,,,,,,featureType,,,,,maxDate,minDate,,,,,,,,,,,,,,,,,,,,,
"Becker, J.","15.1539041, 40.160178, 15.1547218, 40.1607104",2020-05-17T20:01:09Z,jbecker,1,Representative location based on OpenStreetMap.,fort,"{""type"": ""Polygon"", ""coordinates"": [[[15.154233, 40.160178], [15.1539463, 40.1603043], [15.1539041, 40.1604024], [15.1543487, 40.1607104], [15.1544672, 40.1607098], [15.1547218, 40.1605264], [15.1543872, 40.1601979], [15.154233, 40.160178]]]}",osm-location-of-rocca-di-castellammare-della-bruca,precise,representative,1453,640,2020-05-24T12:08:06Z,/places/198420713/osm-location-of-rocca-di-castellammare-della-bruca,/places/198420713,40.16044179,"40.1604417866,15.1543130287",15.15431303,,M,mediaeval-byzantine,"640.0,1453.0",OSM location of Rocca di Castellammare della Bruca,d1b20f747f3d42afb8902c9de5693de8,,,,,1085,Early Modern,EUROPE,1450,1
"Becker, J.","12.4779349, 41.8906954, 12.4780898, 41.8908101",2020-02-15T01:03:29Z,jbecker,1,Representative location based on OpenStreetMap.,fort,"{""type"": ""Polygon"", ""coordinates"": [[[12.4780198, 41.8906954], [12.4779349, 41.890752], [12.4780048, 41.8908101], [12.4780898, 41.8907535], [12.4780198, 41.8906954]]]}",osm-location-of-torre-caetani,precise,representative,1453,640,2020-02-16T14:10:48Z,/places/422724245/osm-location-of-torre-caetani,/places/422724245,41.89075275,"41.8907527517,12.4780123401",12.47801234,,M,mediaeval-byzantine,"640.0,1453.0",OSM location of Torre Caetani,67da5f5f040642d79ab6ed3fbc121518,,,,,1087,Early Modern,EUROPE,1450,1
"Becker, J.","8.5040518, 40.2969576, 8.5053009, 40.2980623",2018-03-18T00:41:42Z,jbecker,1,Location based on OpenStreetMap,fort,"{""type"": ""Polygon"", ""coordinates"": [[[8.5042125, 40.2969576], [8.5041654, 40.2969678], [8.5040518, 40.2972408], [8.5040768, 40.2972794], [8.5043016, 40.2975299], [8.5045304, 40.297735], [8.5048799, 40.2980011], [8.5050129, 40.2980623], [8.5050602, 40.2979954], [8.5052448, 40.2977273], [8.5053009, 40.2974357], [8.5048138, 40.2970987], [8.5047556, 40.2970678], [8.5046046, 40.2970196], [8.5045459, 40.2970085], [8.5044336, 40.2969873], [8.5042125, 40.2969576]]]}",osm-location-of-castello-di-serravalle,precise,representative,1453,640,2018-03-22T16:21:32Z,/places/286808787/osm-location-of-castello-di-serravalle,/places/286808787,40.29746259,"40.2974625873,8.50469846708",8.504698467,,M,mediaeval-byzantine,"640.0,1453.0",OSM location of Castello di Serravalle,d12b89e28c784b2ba29e58b6f2dd03d7,,,,,1089,Early Modern,EUROPE,1450,1
"Becker, J.","13.6601031, 42.2453935, 13.6607472, 42.2460793",2019-03-10T05:32:23Z,jbecker,1,Representative location based on OpenStreetMap.,fort,"{""type"": ""Polygon"", ""coordinates"": [[[13.6603951, 42.2453935], [13.6603438, 42.2454282], [13.6603048, 42.2454754], [13.6602482, 42.2455448], [13.6601562, 42.2456777], [13.6601402, 42.2457236], [13.660104, 42.245848], [13.6601031, 42.2460157], [13.6601296, 42.2460459], [13.6601491, 42.2460635], [13.660173, 42.246076], [13.6602057, 42.2460793], [13.660242, 42.2460668], [13.6605773, 42.2459443], [13.6607286, 42.2456162], [13.6607472, 42.2455716], [13.6603951, 42.2453935]]]}",osm-location-of-castello-di-bominaco,precise,representative,2100,640,2019-03-11T12:55:11Z,/places/487072546/osm-location-of-castello-di-bominaco,/places/487072546,42.24573964,"42.2457396353,13.660395471",13.66039547,,MM,"mediaeval-byzantine,modern","640.0,2100.0",OSM location of Castello di Bominaco,c0192500af9a42af8d79f7b942af6ade,,,,,1090,Early Modern,EUROPE,1450,1
"Becker, J.","-5.5657155, 36.8072264, -5.5654914, 36.8073489",2017-02-24T20:25:19Z,jbecker,1,Representative location of the restored area of the castle based on a way derived from OpenStreetMap.,fort,"{""type"": ""Polygon"", ""coordinates"": [[[-5.5654922, 36.8072264], [-5.5657155, 36.8072272], [-5.5657147, 36.8073489], [-5.5654914, 36.807348], [-5.5654922, 36.8072264]]]}",osm-location-of-castillo-de-matrera,precise,representative,1453,640,2017-02-24T20:27:19Z,/places/688210634/osm-location-of-castillo-de-matrera,/places/688210634,36.80728763,"36.8072876251,-5.56560346618",-5.565603466,,M,mediaeval-byzantine,"640.0,1453.0",OSM location of Castillo de Matrera,90e12be5a5ab473397acdbbd0a266e7e,,,,,1091,Early Modern,EUROPE,1450,1
"Becker, J.","12.4771654, 41.8949498, 12.4772426, 41.8950201",2020-02-15T00:29:00Z,jbecker,1,Representative location based on OpenStreetMap.,fort,"{""type"": ""Polygon"", ""coordinates"": [[[12.4771683, 41.8949498], [12.4771654, 41.8950184], [12.4772222, 41.8950197], [12.4772397, 41.8950201], [12.4772426, 41.8949515], [12.4771683, 41.8949498]]]}",osm-location-of-torre-del-papito,precise,representative,1453,640,2020-02-16T14:10:08Z,/places/327838685/osm-location-of-torre-del-papito,/places/327838685,41.89498495,"41.8949849501,12.477204",12.477204,,M,mediaeval-byzantine,"640.0,1453.0",OSM location of Torre del Papito,889eb70e4f5a4d73ace0e154205689eb,,,,,1092,Early Modern,EUROPE,1450,1
"Becker, J.","12.2168271, 41.9867856, 12.2168271, 41.9867856",2014-06-15T17:14:04Z,jbecker,3,Representative location based on OpenStreetMap.,fort,"{""type"": ""Point"", ""coordinates"": [12.2168271, 41.9867856]}",osm-location,precise,representative,1453,640,2019-03-18T19:45:38Z,/places/206604800/osm-location,/places/206604800,41.9867856,"41.9867856,12.2168271",12.2168271,,M,mediaeval-byzantine,"640.0,1453.0",OSM location of Torre Pascolaro,85e19cb5928fde19efbf9c8347d89b6f,,,,,1093,Early Modern,EUROPE,1450,1
"Becker, J.","12.5528433, 41.8951734, 12.5528433, 41.8951734",2013-12-31T13:36:06Z,jbecker,3,Representative location based on OpenStreetMap.,fort,"{""type"": ""Point"", ""coordinates"": [12.5528433, 41.8951734]}",location-of-tor-de-schiavi,precise,representative,1453,640,2019-02-21T11:25:59Z,/places/85815300/location-of-tor-de-schiavi,/places/85815300,41.8951734,"41.8951734,12.5528433",12.5528433,,M,mediaeval-byzantine,"640.0,1453.0",OSM location of Tor de' Schiavi,4901444f00c3852b6673e79c1ed8df17,,,,,1094,Early Modern,EUROPE,1450,1
"Becker, J.","12.4974758, 41.8948417, 12.4976188, 41.8949479",2018-11-28T01:54:51Z,jbecker,2,Representative location based on OpenStreetMap.,fort,"{""type"": ""Polygon"", ""coordinates"": [[[12.4975392, 41.8948417], [12.4974758, 41.8949001], [12.4975553, 41.8949479], [12.4976188, 41.8948895], [12.4975392, 41.8948417]]]}",osm-location-of-torre-dei-capocci,precise,representative,2100,640,2021-01-19T19:52:52Z,/places/554777910/osm-location-of-torre-dei-capocci,/places/554777910,41.8948948,"41.8948947979,12.4975472908",12.49754729,,MM,"mediaeval-byzantine,modern","640.0,2100.0",OSM location of Torre dei Capocci,a09d77cf135c4d07a4de86bc404557e8,,,,,1095,Early Modern,EUROPE,1450,1
"Becker, J.","12.4969472, 41.895133, 12.4970761, 41.8952314",2018-10-17T01:47:26Z,jbecker,1,Representative location based on OpenStreetMap.,fort,"{""type"": ""Polygon"", ""coordinates"": [[[12.4970067, 41.895133], [12.4969472, 41.8951897], [12.4970189, 41.8952314], [12.4970761, 41.8951789], [12.4970067, 41.895133]]]}",osm-location-of-torre-dei-graziani,precise,representative,2100,640,2021-01-19T19:52:40Z,/places/554777911/osm-location-of-torre-dei-graziani,/places/554777911,41.89518292,"41.8951829225,12.4970117561",12.49701176,,MM,"mediaeval-byzantine,modern","640.0,2100.0",OSM location of Torre dei Graziani,d0f610247e694b7b8f1b506204dbf90e,,,,,1096,Early Modern,EUROPE,1450,1
"Becker, J.","12.593035, 41.8389826, 12.5931723, 41.839088",2018-02-21T03:29:33Z,jbecker,1,Representative location based on OpenStreetMap.,fort,"{""type"": ""Polygon"", ""coordinates"": [[[12.5930821, 41.8389826], [12.593035, 41.8390557], [12.5931252, 41.839088], [12.5931723, 41.8390149], [12.5930821, 41.8389826]]]}",osm-location-of-tor-di-mezzavia-di-frascati,precise,representative,1453,640,2018-03-05T10:52:04Z,/places/243709573/osm-location-of-tor-di-mezzavia-di-frascati,/places/243709573,41.8390353,"41.8390353,12.59310365",12.59310365,,M,mediaeval-byzantine,"640.0,1453.0",OSM location of Tor di Mezzavia di Frascati,14930232f7894625b248d9cb0d2f223e,,,,,1097,Early Modern,EUROPE,1450,1
"Becker, J.","12.5207022, 41.8518335, 12.5213329, 41.8523134",2018-04-25T13:41:45Z,jbecker,1,Representative location based on OpenStreetMap.,fort,"{""type"": ""Polygon"", ""coordinates"": [[[12.5210145, 41.8518335], [12.5208476, 41.8519752], [12.5207435, 41.8520998], [12.5207101, 41.8521425], [12.5207022, 41.8522023], [12.5207305, 41.8522572], [12.5207663, 41.8522858], [12.5208214, 41.8523074], [12.5208764, 41.8523134], [12.5209457, 41.8523015], [12.5209776, 41.8522872], [12.5210184, 41.8522544], [12.5213329, 41.851982], [12.5212746, 41.8519453], [12.5210145, 41.8518335]]]}",osm-location-of-castrum-caetani,precise,representative,1453,640,2021-02-05T13:05:05Z,/places/156802663/osm-location-of-castrum-caetani,/places/156802663,41.85207451,"41.8520745143,12.5209995724",12.52099957,,M,mediaeval-byzantine,"640.0,1453.0",OSM location of Castrum Caetani,ee8272d6cb834a4caacb1f29b032559e,,,,,1098,Early Modern,EUROPE,1450,1
"Becker, J.","12.2864952, 43.1426264, 12.2871263, 43.1430988",2019-08-07T23:51:03Z,jbecker,1,Location based on OpenStreetMap,fort,"{""type"": ""Polygon"", ""coordinates"": [[[12.2865467, 43.1426264], [12.2865405, 43.1426745], [12.2864952, 43.1430613], [12.2865779, 43.143067], [12.2870748, 43.1430988], [12.287081, 43.1430507], [12.2871263, 43.1426639], [12.2870436, 43.1426582], [12.2865467, 43.1426264]]]}",osm-location-of-castello-di-pieve-del-vescovo,precise,representative,2100,640,2019-08-11T11:48:16Z,/places/161272835/osm-location-of-castello-di-pieve-del-vescovo,/places/161272835,43.14286266,"43.1428626606,12.2868095305",12.28680953,,MM,"mediaeval-byzantine,modern","640.0,2100.0",OSM location of Castello di Pieve del Vescovo,8f934a55ba524265a0883d8a4a354104,,,,,1101,Early Modern,EUROPE,1450,1
"Becker, J.","12.6483218, 41.7983274, 12.648668, 41.7985664",2019-03-20T14:27:56Z,jbecker,1,Representative location based on OpenStreetMap.,fort,"{""type"": ""Polygon"", ""coordinates"": [[[12.6485684, 41.7983274], [12.6483914, 41.7983855], [12.6483218, 41.7984099], [12.6484207, 41.7985664], [12.648563, 41.798522], [12.648668, 41.7984851], [12.6485684, 41.7983274]]]}",osm-location-of-castello-savelli,precise,representative,1453,640,2021-03-01T22:47:41Z,/places/53963660/osm-location-of-castello-savelli,/places/53963660,41.79844943,"41.7984494349,12.648494148",12.64849415,,M,mediaeval-byzantine,"640.0,1453.0",OSM location of Castello Savelli,e6c6badf11f24859ada6fbb60cdd67b6,,,,,1102,Early Modern,EUROPE,1450,1
"Becker, J.","10.6031105, 43.0860203, 10.6042895, 43.0870268",2018-02-22T03:23:11Z,jbecker,1,Representative location based on OpenStreetMap.,fort,"{""type"": ""Polygon"", ""coordinates"": [[[10.6035683, 43.0860203], [10.6032283, 43.0860501], [10.6031105, 43.0866295], [10.6031558, 43.0866825], [10.603795, 43.0870268], [10.6041532, 43.0870136], [10.6042895, 43.0868641], [10.6042846, 43.0866725], [10.6041758, 43.086315], [10.6039673, 43.0860402], [10.6035683, 43.0860203]]]}",osm-location-of-rocca-di-san-silvestro,precise,representative,1453,640,2018-03-05T10:51:10Z,/places/688315964/osm-location-of-rocca-di-san-silvestro,/places/688315964,43.0865056,"43.0865056002,10.6037202737",10.60372027,,M,mediaeval-byzantine,"640.0,1453.0",OSM location of Rocca di San Silvestro,10a9a7c87fea49eab031d3da182810b4,,,,,1103,Early Modern,EUROPE,1450,1
"Becker, J.","15.3464338, 37.9135273, 15.346604, 37.9136618",2020-03-20T15:02:02Z,jbecker,1,Representative location based on OpenStreetMap,fort,"{""type"": ""Polygon"", ""coordinates"": [[[15.3465096, 37.9135273], [15.3464824, 37.9135332], [15.3464592, 37.9135458], [15.3464424, 37.9135636], [15.3464338, 37.9135847], [15.3464344, 37.9136069], [15.3464441, 37.9136278], [15.3464618, 37.913645], [15.3464857, 37.9136568], [15.3465132, 37.9136618], [15.3465412, 37.9136595], [15.3465667, 37.9136502], [15.3465871, 37.9136348], [15.3466, 37.913615], [15.346604, 37.913593], [15.3465988, 37.9135712], [15.3465848, 37.9135518], [15.3465637, 37.9135371], [15.3465377, 37.9135287], [15.3465096, 37.9135273]]]}",osm-location-of-castello-di-santalessio,precise,representative,1453,640,2020-03-26T14:32:41Z,/places/928344916/osm-location-of-castello-di-santalessio,/places/928344916,37.91359444,"37.9135944408,15.3465184833",15.34651848,,M,mediaeval-byzantine,"640.0,1453.0",OSM location of Castello di Sant'Alessio,7e654d3e435747809d41dc8709d1ccc1,,,,,1104,Early Modern,EUROPE,1450,1
"Becker, J.","35.5208335, 32.5950771, 35.5221552, 32.5961406",2020-05-01T01:41:45Z,jbecker,1,Representative location based on OpenStreetMap.,fort,"{""type"": ""Polygon"", ""coordinates"": [[[35.5210025, 32.5950771], [35.5208335, 32.5950816], [35.5208395, 32.5952437], [35.5208806, 32.5961117], [35.521381, 32.5961299], [35.5220347, 32.5961398], [35.5221429, 32.5961406], [35.5221552, 32.5951016], [35.5215658, 32.595083], [35.5210025, 32.5950771]]]}",osm-location-of-kokhav-hayarden,precise,representative,1453,640,2020-05-01T20:55:42Z,/places/802931429/osm-location-of-kokhav-hayarden,/places/802931429,32.59560257,"32.59560257,35.5214777122",35.52147771,,M,mediaeval-byzantine,"640.0,1453.0",OSM location of Kokhav HaYarden,5bb2da6d6931418695c93b604f60e3a6,,,,,1105,Early Modern,EUROPE,1450,1
"Becker, J.","11.1520397, 42.814199, 11.1520397, 42.814199",2017-05-18T18:52:57Z,jbecker,2,Representative location based on OpenStreetMap.,fort,"{""type"": ""Point"", ""coordinates"": [11.1520397, 42.814199]}",osm-location-of-tino-di-moscona,precise,representative,1453,640,2017-05-23T16:02:42Z,/places/787161721/osm-location-of-tino-di-moscona,/places/787161721,42.814199,"42.814199,11.1520397",11.1520397,,M,mediaeval-byzantine,"640.0,1453.0",OSM location of Tino di Moscona,334ece7576d1450593a6face4c5dd586,,,,,1106,Early Modern,EUROPE,1450,1
"Becker, J.","12.4972988, 41.8566142, 12.4973908, 41.856679",2018-02-17T17:33:36Z,jbecker,2,Representative location based on OpenStreetMap.,fort,"{""type"": ""Polygon"", ""coordinates"": [[[12.4973854, 41.8566142], [12.4972988, 41.8566185], [12.4973014, 41.8566478], [12.4973042, 41.856679], [12.4973908, 41.8566747], [12.4973854, 41.8566142]]]}",osm-location-of-torre-delle-vigne,precise,representative,1453,640,2018-03-08T20:47:08Z,/places/423089/osm-location-of-torre-delle-vigne,/places/423089,41.8566466,"41.8566466001,12.4973447984",12.4973448,,M,mediaeval-byzantine,"640.0,1453.0",OSM location of Torre delle Vigne,25c1c07f0770405fb0fc6637f15c2b58,,,,,1108,Early Modern,EUROPE,1450,1
"Becker, J.","12.1463455, 41.9151971, 12.1464926, 41.9153074",2021-01-13T21:46:56Z,jbecker,1,Representative location based on OpenStreetMap,fort,"{""type"": ""Polygon"", ""coordinates"": [[[12.1464439, 41.9151971], [12.1463455, 41.9152325], [12.1463942, 41.9153074], [12.1464926, 41.9152719], [12.1464439, 41.9151971]]]}",osm-location-of-torre-di-palidoro,precise,representative,1453,640,2021-01-14T15:07:46Z,/places/423098/osm-location-of-torre-di-palidoro,/places/423098,41.91525223,"41.9152522321,12.1464190415",12.14641904,,M,mediaeval-byzantine,"640.0,1453.0",OSM location of Torre di Palidoro,494f334da35247e3ac7787c5f0c40381,,,,,1109,Early Modern,EUROPE,1450,1
"Prins, A., J. Becker","36.294731, 34.756897, 36.294731, 34.756897",2012-11-16T18:31:44Z,adamp,2,"Location of Crac des Chevaliers. Coordinates determined by eye in Google Earth in November 2012, following description in UNESCO World Heritage List.",fort,"{""type"": ""Point"", ""coordinates"": [36.294731, 34.756897]}",crac-des-chevaliers,precise,representative,1450,850,2017-01-20T03:52:59Z,/places/587486981/crac-des-chevaliers,/places/587486981,34.756897,"34.756897,36.294731",36.294731,UWHS,ML,"middle-byzantine,late-byzantine","850.0,1450.0",Crac des Chevaliers,82230d887e449dd002508158d68caa37,,,,,1110,Early Modern,EUROPE,1450,1
"Becker, J.","23.9319038, 38.1555719, 23.9319038, 38.1555719",2020-03-28T19:17:11Z,jbecker,1,Representative location based on OpenStreetMap.,fort,"{""type"": ""Point"", ""coordinates"": [23.9319038, 38.1555719]}",osm-location-of-i-iii3i-i-ii-i-iiui-i-iii,precise,representative,1299,1200,2020-04-10T15:04:42Z,/places/638120044/osm-location-of-i-iii3i-i-ii-i-iiui-i-iii,/places/638120044,38.1555719,"38.1555719,23.9319038",23.9319038,,T,thirteenth-ce,"1200.0,1299.0",OSM location of Î ÏÏÎ³Î¿Ï‚ Ï„Î¿Ï… Î”ÎµÎ»Î±ÏÏŒÏ‚,a44626b1a1d849d4a75823e4b6c50b10,,,,,1111,Early Modern,EUROPE,1450,1
"Mckee, G.","10.2866559, 32.8686825, 10.2866559, 32.8686825",2020-11-06T19:00:48Z,gmckee,1,"Point representing the location of the Ksar Douiret site, derived from an OpenStreetMap Node.",fort,"{""type"": ""Point"", ""coordinates"": [10.2866559, 32.8686825]}",ksar-douiret,precise,representative,1923,1300,2020-11-07T03:48:02Z,/places/681631219/ksar-douiret,/places/681631219,32.8686825,"32.8686825,10.2866559",10.2866559,,O,ottoman-empire-2,"1300.0,1923.0",OSM location of Ksar Douiret,93e86b4bc25348ac82e08e938346d6d3,,,,,1195,Early Modern,EUROPE,1450,1
"Becker, J.","36.2245497, 36.4264635, 36.2253042, 36.4271495",2016-11-07T17:46:20Z,jbecker,1,Location based on OpenStreetMap,fort,"{""type"": ""Polygon"", ""coordinates"": [[[36.2247458, 36.4264635], [36.2246179, 36.426515], [36.2245497, 36.4269677], [36.2247117, 36.4271118], [36.2249675, 36.4271495], [36.2251636, 36.4270912], [36.2252872, 36.4269917], [36.2253042, 36.4268031], [36.2250655, 36.4265012], [36.2247458, 36.4264635]]]}",osm-location-of-bagras-castle,precise,"representative,",1453,640,2020-08-05T22:27:17Z,/places/786609869/osm-location-of-bagras-castle,/places/786609869,36.42681327,"36.4268132652,36.2249098853",36.22490989,,M,mediaeval-byzantine,"640.0,1453.0",OSM location of Bagras Castle,ead58889950e44c7be2c995800bdf92a,,,,,32,Early Modern,AFRICA,1450,1
"Becker, J., G. Moss","0.61635, 52.4710683, 0.61635, 52.4710683",2015-01-19T21:24:52Z,jbecker,3,Representative location based on OpenStreetMap.,fort,"{""type"": ""Point"", ""coordinates"": [0.61635, 52.4710683]}",osm-location,precise,"representative,",2100,640,2016-08-24T19:08:59Z,/places/536959419/osm-location,/places/536959419,52.4710683,"52.4710683,0.61635",0.61635,,MM,"mediaeval-byzantine,modern","640.0,2100.0",OSM location of Weeting Castle,54425d09cf9f47be87cda4a11cf13d54,,,,,35,Early Modern,AFRICA,1450,1
"Horne, R.","21.141944, 37.890278, 21.141944, 37.890278",2013-03-25T15:40:47Z,rmhorne,1,Medieval castle on Hormina(?) Mons,fort,"{""type"": ""Point"", ""coordinates"": [21.141944, 37.890278]}",osm-node-85850809,precise,representative,1453,640,2013-04-08T19:12:28Z,/places/570296/osm-node-85850809,/places/570296,37.890278,"37.890278,21.141944",21.141944,,M,mediaeval-byzantine,"640.0,1453.0",Chlemoutsi,7ac11a49acb0875a7c6ddff9cb77c411,,,,,35,Early Modern,AFRICA,1450,1
"Becker, J.","-5.633932, 37.4736496, -5.633932, 37.4736496",2013-12-11T19:38:04Z,jbecker,2,Location based on OpenStreetMap,fort,"{""type"": ""Point"", ""coordinates"": [-5.633932, 37.4736496]}",location-of-alcazar-del-rey-don-pedro,precise,"representative,",1453,640,2018-06-23T14:23:30Z,/places/580732678/location-of-alcazar-del-rey-don-pedro,/places/580732678,37.4736496,"37.4736496,-5.633932",-5.633932,,M,mediaeval-byzantine,"640.0,1453.0",OSM location of AlcÃ¡zar del rey Don Pedro,43df1b854381ca21d78f9334384df962,,,,,36,Early Modern,AFRICA,1450,1
"Becker, J.","24.6765233, 35.3283465, 24.6765233, 35.3283465",2013-09-28T02:58:39Z,jbecker,2,Location based on OpenStreetMap,fort,"{""type"": ""Point"", ""coordinates"": [24.6765233, 35.3283465]}",location-of-byzantine-tower,precise,"representative,",1453,640,2018-06-07T21:36:16Z,/places/589772/location-of-byzantine-tower,/places/589772,35.3283465,"35.3283465,24.6765233",24.6765233,,M,mediaeval-byzantine,"640.0,1453.0",OSM location of Byzantine tower,599298dc959a33e2f03d155f873f4cd5,,,,,36,Early Modern,AFRICA,1450,1
"Becker, J.","12.764754, 41.4080217, 12.764754, 41.4080217",2013-07-18T19:23:35Z,jbecker,1,A Medieval coastal fort of the Frangipani.. Location based on OpenStreetMap.,fort,"{""type"": ""Point"", ""coordinates"": [12.764754, 41.4080217]}",osm-location-of-torre-astura,precise,representative,1453,640,2019-03-11T12:59:35Z,/places/648012834/osm-location-of-torre-astura,/places/648012834,41.4080217,"41.4080217,12.764754",12.764754,,M,mediaeval-byzantine,"640.0,1453.0",OSM location of Torre Astura,4d9809cb1f4b3e712c29f3a115848476,,,,,35,Early Modern,AFRICA,1450,1
"Becker, J.","14.5293872, 37.6549841, 14.5293872, 37.6549841",2014-05-08T16:03:55Z,jbecker,1,Location based on OpenStreetMap,fort,"{""type"": ""Point"", ""coordinates"": [14.5293872, 37.6549841]}",osm-location,precise,representative,1453,640,2018-06-07T19:49:02Z,/places/462082/osm-location,/places/462082,37.6549841,"37.6549841,14.5293872",14.5293872,,M,mediaeval-byzantine,"640.0,1453.0",OSM location,41c1f6f7e89ddea274ff725fdfc97c5b,,,,,35,Early Modern,AFRICA,1450,1
"Becker, J.","15.3225689, 41.5083613, 15.3225689, 41.5083613",2013-02-26T21:18:44Z,jbecker,1,"A castle originally built by Frederick II, Holy Roman Emperor in AD 1233. Location based on OpenStreetMap.",fort,"{""type"": ""Point"", ""coordinates"": [15.3225689, 41.5083613]}",location-of-lucera-castle,precise,representative,1453,640,2018-06-05T21:11:06Z,/places/817071134/location-of-lucera-castle,/places/817071134,41.5083613,"41.5083613,15.3225689",15.3225689,,M,mediaeval-byzantine,"640.0,1453.0",location of Lucera Castle,ff850d5132bab1f4ad2216eca2951dc7,,,,,739,Early Modern,AFRICA,1450,1
"Becker, J.","12.4866851, 41.8958635, 12.4866851, 41.8958635",2014-01-01T16:22:39Z,jbecker,2,Representative location based on OpenStreetMap.,fort,"{""type"": ""Point"", ""coordinates"": [12.4866851, 41.8958635]}",location-of-torre-delle-milizie,precise,"representative,",2100,640,2018-01-12T20:36:46Z,/places/767766096/location-of-torre-delle-milizie,/places/767766096,41.8958635,"41.8958635,12.4866851",12.4866851,,MM,"mediaeval-byzantine,modern","640.0,2100.0",OSM location of Torre delle Milizie,e4083db3cba3cc467bc3e91f07b569c8,,,,,37,Early Modern,EUROPE,1450,1
"Becker, J.","8.4546403, 35.5633631, 8.4546403, 35.5633631",2013-11-09T04:31:28Z,jbecker,1,Location based on OpenStreetMap,fort,"{""type"": ""Point"", ""coordinates"": [8.4546403, 35.5633631]}",byzantine-fortress,precise,representative,1453,640,2013-12-24T12:42:04Z,/places/324665/byzantine-fortress,/places/324665,35.5633631,"35.5633631,8.4546403",8.4546403,,M,mediaeval-byzantine,"640.0,1453.0",Byzantine fortress,96cbad1d875785c1b5c4e272ff3e4e80,,,,,37,Early Modern,EUROPE,1450,1
"Becker, J.","11.7677982, 42.8990396, 11.7677982, 42.8990396",2013-10-28T17:00:43Z,jbecker,2,Representative location based on OpenStreetMap.,fort,"{""type"": ""Point"", ""coordinates"": [11.7677982, 42.8990396]}",location-of-rocca-di-radicofani,precise,representative,1453,640,2019-02-23T14:48:22Z,/places/530611410/location-of-rocca-di-radicofani,/places/530611410,42.8990396,"42.8990396,11.7677982",11.7677982,,M,mediaeval-byzantine,"640.0,1453.0",OSM location of Rocca di Radicofani,09b88ef1d2d7ad22d9f74501b45e8bdf,,,,,649,Early Modern,EUROPE,1450,1
"Becker, J.","-0.3875331, 54.2895333, -0.3875331, 54.2895333",2018-05-05T19:12:57Z,jbecker,,Location based on OpenStreetMap,fort,"{""type"": ""Point"", ""coordinates"": [-0.3875331, 54.2895333]}",osm-location-of-scarborough-castle,precise,representative,2100,640,2018-05-05T19:14:01Z,/places/272290638/osm-location-of-scarborough-castle,/places/272290638,54.2895333,"54.2895333,-0.3875331",-0.3875331,,MM,"mediaeval-byzantine,modern","640.0,2100.0",OSM location of Scarborough Castle,6e9037431c134fcea09a1cdf46f4d67d,,,,,951,Early Modern,ASIA,1450,1
"Becker, J.","-3.1816779, 51.4813553, -3.1816779, 51.4813553",2013-08-10T02:56:12Z,jbecker,1,Cardiff Castle incorporates remains of the antecedent Roman fort. Location based on OpenStreetMap.,fort,"{""type"": ""Point"", ""coordinates"": [-3.1816779, 51.4813553]}",osm-location-of-cardiff-castle,precise,representative,1453,640,2018-08-16T21:31:28Z,/places/735520833/osm-location-of-cardiff-castle,/places/735520833,51.4813553,"51.4813553,-3.1816779",-3.1816779,,M,mediaeval-byzantine,"640.0,1453.0",OSM location of Cardiff Castle,6fa6be2dea555a6f769f922bab9adaba,,,,,38,Early Modern,EUROPE,1450,1
"Becker, J.","35.8571397, 34.8566738, 35.8571397, 34.8566738",2013-05-23T16:53:11Z,jbecker,2,Location based on OpenStreetMap,fort,"{""type"": ""Point"", ""coordinates"": [35.8571397, 34.8566738]}",location-of-citadel-of-arwad,precise,"representative,",1291,1099,2018-06-07T23:33:20Z,/places/668197/location-of-citadel-of-arwad,/places/668197,34.8566738,"34.8566738,35.8571397",35.8571397,,C,crusader-seljuq-ayyubid-levant,"1099.0,1291.0",OSM location of citadel of Arwad,23264fe2d30dc788be9deb340dd903dd,,,,,38,Early Modern,EUROPE,1450,1
"JesÃºs Redondo, M.","-4.9041947, 38.5966427, -4.9041947, 38.5966427",2016-11-22T15:23:47Z,mjredondo,2,OSM location of modern Santa Eufemia,fort,"{""type"": ""Point"", ""coordinates"": [-4.9041947, 38.5966427]}",osm-location-of-santa-eufemia,precise,associated_modern,1453,640,2020-03-20T20:41:24Z,/places/186232400/osm-location-of-santa-eufemia,/places/186232400,38.5966427,"38.5966427,-4.9041947",-4.9041947,,M,mediaeval-byzantine,"640.0,1453.0",OSM location of Santa Eufemia,cd37a42cc95643c48562d7948ed4a284,,,,,42,Early Modern,EUROPE,1450,1
"JesÃºs Redondo, M.","-3.9389776, 37.8652854, -3.9389776, 37.8652854",2016-12-14T20:02:47Z,mjredondo,1,Location based on OpenStreetMap,fort,"{""type"": ""Point"", ""coordinates"": [-3.9389776, 37.8652854]}",osm-location-of-modern-el-berrueco,precise,associated_modern,1453,640,2017-07-22T12:09:37Z,/places/741862948/osm-location-of-modern-el-berrueco,/places/741862948,37.8652854,"37.8652854,-3.9389776",-3.9389776,,M,mediaeval-byzantine,"640.0,1453.0",OSM location of modern El Berrueco,5bfe062428934b39acbcdbef1ec4e5b1,,,,,47,Early Modern,EUROPE,1450,1
